"country","HighIncomeLendingGroup2023","HighIncomeGNIperCapitaAtlas2021CurrentUSD","HighIncomeGNIperCapitaPPP2021CurrentINT","HighIncomeDataYear2021"
"Bermuda","High",120020,90490,2021
"Liechtenstein","High",116600,,
"Switzerland","High",90810,75960,2021
"Luxembourg","High",87610,90180,2021
"Norway","High",83190,83750,2021
"Isle of Man","High",79300,,
"Ireland","High",76120,80870,2021
"United States","High",70900,71130,2021
"Faroe Islands","High",69840,,
"Denmark","High",69780,68700,2021
"Iceland","High",63180,55520,2021
"Singapore","High",63000,99420,2021
"Qatar","High",62400,100930,2021
"Cayman Islands","High",62000,52990,2021
"Sweden","High",60700,62780,2021
"Netherlands","High",58170,65520,2021
"Australia","High",57240,55570,2021
"Hong Kong","High",54370,70840,2021
"Finland","High",53350,55630,2021
"Austria","High",53150,60760,2021
"Germany","High",52050,61330,2021
"Belgium","High",51060,60140,2021
"Israel","High",49350,43460,2021
"Canada","High",48720,52720,2021
"San Marino","High",47120,61060,2021
"Macau","High",46350,73180,2021
"New Zealand","High",45770,47140,2021
"United Kingdom","High",45550,50640,2021
"Andorra","High",44350,,
"France","High",43810,52510,2021
"United Arab Emirates","High",43590,77140,2021
"Japan","High",43450,44910,2021
"New Caledonia","High",37370,,
"Italy","High",36420,48200,2021
"South Korea","High",35200,47600,2021
"Kuwait","High",34850,59130,2021
"Greenland","High",34800,,
"Sint Maarten","High",30830,41330,2021
"Malta","High",30770,45630,2021
"Brunei","High",30320,66770,2021
"Aruba","High",30180,39950,2021
"Spain","High",30090,41500,2021
"Cyprus","High",29490,42060,2021
"Slovenia","High",28370,43500,2021
"Bahamas","High",27870,32140,2021
"Estonia","High",26270,42410,2021
"Bahrain","High",24720,51370,2021
"Czech Republic","High",24530,43770,2021
"Saudi Arabia","High",24030,52500,2021
"Portugal","High",23960,36360,2021
"Turks and Caicos Islands","High",23010,21920,2021
"Puerto Rico","High",22460,24800,2021
"Lithuania","High",21850,42370,2021
"Slovakia","High",20670,33530,2021
"Greece","High",20010,31240,2021
"Latvia","High",19910,34120,2021
"French Polynesia","High",18560,,
"Saint Kitts and Nevis","High",18430,27970,2021
"Curacao","High",18060,23410,2021
"Nauru","High",18010,19480,2021
"Oman","High",17960,35280,2021
"Croatia","High",17750,35460,2021
"Hungary","High",17740,35570,2021
"Poland","High",16910,36510,2021
"Barbados","High",16710,14690,2021
"Antigua and Barbuda","High",16430,21730,2021
"Uruguay","High",16180,23140,2021
"Trinidad and Tobago","High",14850,25330,2021
"Chile","High",14800,26680,2021
"Panama","High",14590,31000,2021
"Romania","High",14190,35400,2021